,date,link,model,nb_replies,nb_views,title,user
813,latest reply 3 days ago                             by vot9783,/thread/8237410,iphone_7_p,2 replies,68 views,"After updating to ios 11.2.2, 3D touch not working on iphone 7 Plus",asked by vot9783
814,3 days ago,/thread/8238622,iphone_7_p,0 replies,7 views,Sending photos from Photo Ap lags,asked by ClgInAZ
815,latest reply 3 days ago                             by N.hussein,/thread/8237645,iphone_7_p,3 replies,26 views,cracked iphone 7 plus screen,asked by N.hussein
816,latest reply 4 days ago                             by Ikkaku,/thread/8173876,iphone_7_p,29 replies,"1,840 views",Apple Carplay stopped working Accord 2018,asked by ddugas1970
817,latest reply 7 days ago                             by sberman,/thread/8234070,iphone_7_p,1 reply,36 views,cost of iphone 7 plus screen repair with applecare,asked by kiarafrom252
818,latest reply 4 days ago                             by chem15t,/thread/8231712,iphone_7_p,7 replies,136 views,iOS Update 11.2.2,asked by forrest21
819,latest reply 5 days ago                             by pauldv172,/thread/8215908,iphone_7_p,19 replies,"1,239 views",Refund for batteries replaced prior to January 2018?,asked by kujo46
820,latest reply 5 days ago                             by boochiebtch,/thread/7886569,iphone_7_p,4 replies,"10,394 views",iPhone 7 Plus keeps shutting down,asked by Holnut
821,latest reply 5 days ago                             by P.Kwan,/thread/8069340,iphone_7_p,6 replies,"1,428 views","iPhone 7+ home ""button"" cracked!!",asked by Hdm0
822,latest reply 6 days ago                             by Starr.C,/thread/8224998,iphone_7_p,3 replies,24 views,Call lost,asked by DesertRatR
823,latest reply 6 days ago                             by Briansyddall,/thread/8095253,iphone_7_p,5 replies,94 views,My iphone 7 plus bends!,asked by PetarJovic2002
824,latest reply 7 days ago                             by drajauh,/thread/7681421,iphone_7_p,418 replies,"212,098 views",iPhone 7 Microphone Cutting Out,asked by Inquirer for info
825,latest reply 1 week ago                             by KiltedTim,/thread/8232455,iphone_7_p,2 replies,44 views,Will security patch for Spectre and Meltdown slow processor by as much as 30% for iOS and macOS?,asked by mikeflores2000
826,latest reply 1 week ago                             by viju746,/thread/8231429,iphone_7_p,4 replies,37 views,iPhone 7 plus - Can we trust the Water resitantance rating IP67 ?,asked by viju746
827,latest reply 1 week ago                             by ProustGiulio,/thread/8232098,iphone_7_p,1 reply,17 views,iPhone 7 Plus Screen Scratches,asked by Nick from BC
828,latest reply 1 week ago                             by dontthink,/thread/8230917,iphone_7_p,2 replies,52 views,Memory problems,asked by dontthink
829,latest reply 1 week ago                             by HeartGraffiti,/thread/7683739,iphone_7_p,6 replies,"4,794 views",iphone 7 plus external speaker low volume,asked by macha.928
830,latest reply 1 week ago                             by welafever,/thread/8230648,iphone_7_p,6 replies,40 views,Can't get photos to transfer from Canon 5D Mark IV to iPhone 7.,asked by mvw22
831,latest reply 1 week ago                             by MrBill3,/thread/8231572,iphone_7_p,2 replies,18 views,icloud Storage upgrade (ISSUE),asked by mumairk
832,latest reply 1 week ago                             by Briansyddall,/thread/8231503,iphone_7_p,1 reply,121 views,My iPhone getting hot,asked by FunnyManSayeed
833,1 week ago,/thread/8231487,iphone_7_p,0 replies,9 views,My iphone 7plus back camera is black and i have changed the camera but still its not working. What should i do?,asked by fahad122
834,latest reply 1 week ago                             by cellepo,/thread/8084926,iphone_7_p,24 replies,"7,270 views",Cant play music through USB iOS11,asked by xzibit_007
835,1 week ago,/thread/8231127,iphone_7_p,0 replies,17 views,after update to 11.2.1.My iphone 7 plus 3G/4G very unstable and always not servies,asked by Silas_qq
836,latest reply 1 week ago                             by Wilcam1,/thread/7891039,iphone_7_p,16 replies,"17,303 views",iPhone 7 plus does not ring only vibrate,asked by papsmelbourne
837,latest reply 1 week ago                             by Briansyddall,/thread/8230641,iphone_7_p,1 reply,16 views,iphone 7plushome button scratched/dents,asked by lane21flordeliza
838,latest reply 1 week ago                             by Zunaedr23,/thread/7984132,iphone_7_p,4 replies,476 views,iPhone 7 Plus home button discoloration,asked by gabbyyyyy
839,latest reply 1 week ago                             by Inspxct,/thread/8229941,iphone_7_p,2 replies,32 views,How old is my iPhone battery?,asked by Inspxct
840,latest reply 1 week ago                             by Philly_Phan,/thread/8132887,iphone_7_p,2 replies,642 views,no one can hear me on my new iPhone 7 plus,asked by Lmo405
841,latest reply 1 week ago                             by Kappy,/thread/8229244,iphone_7_p,1 reply,26 views,Battery replacement,asked by Happycamper4
842,latest reply 1 week ago                             by Briansyddall,/thread/8228712,iphone_7_p,1 reply,22 views,ios 11 RAM full on iPhone 7+,asked by ginofrombellevue
843,latest reply 1 week ago                             by KiltedTim,/thread/8228529,iphone_7_p,1 reply,19 views,Call list history should show the entire list,asked by Senthilvel123
844,latest reply 2 weeks ago                             by stedman1,/thread/8226239,iphone_7_p,3 replies,61 views,My iphone 7+ goes straight to voice mail and doesnt ring,asked by larrycohen
845,latest reply 2 weeks ago                             by ckuan,/thread/8225993,iphone_7_p,2 replies,32 views,Iphone7+ Coverage and repairs,asked by Jadelouise_e
846,latest reply 2 weeks ago                             by sydrescue,/thread/8225184,iphone_7_p,2 replies,41 views,"iPhone 7 plus 3D Touch, vibrate, calibration messed up",asked by sydrescue
847,latest reply 2 weeks ago                             by ProustGiulio,/thread/8224006,iphone_7_p,8 replies,70 views,Cambio batteria 2018.,asked by andreafrompontinia
848,2 weeks ago,/thread/8227147,iphone_7_p,0 replies,13 views,iPhone + iCloud,asked by coolquestionmonica
849,latest reply 2 weeks ago                             by Briansyddall,/thread/8224883,iphone_7_p,3 replies,58 views,How much would it cost to repair a small crack in the top right corner and a small crack in the bottom left corner on the Iphone 7 plus?,asked by Iphone7_User
850,latest reply 2 weeks ago                             by Briansyddall,/thread/8225958,iphone_7_p,1 reply,18 views,Phone Problems,asked by Kiarabeverly
851,latest reply 2 weeks ago                             by themurph_nc,/thread/7694379,iphone_7_p,1 reply,158 views,iPhone 7 watches pairing issue with Android Wear iOS app,asked by Enrique Garcia
852,latest reply 2 weeks ago                             by kdub419,/thread/8217578,iphone_7_p,8 replies,157 views,Will a third party iPhone battery replacement void my warranty?,asked by kdub419
853,latest reply 2 weeks ago                             by bpondo89,/thread/8070066,iphone_7_p,7 replies,"2,414 views",error 51,asked by DbBean
854,latest reply 2 weeks ago                             by Briansyddall,/thread/8223469,iphone_7_p,2 replies,36 views,iphone battery,asked by KittyfromVA
855,latest reply 2 weeks ago                             by Michael Black,/thread/8224777,iphone_7_p,6 replies,45 views,Glass Only Replacement ?,asked by leodeepak26
856,latest reply 2 weeks ago                             by Briansyddall,/thread/8222211,iphone_7_p,2 replies,55 views,Does the warranty cover cracked phones,asked by jhearly
857,latest reply 2 weeks ago                             by Lawrence Finch,/thread/8200573,iphone_7_p,8 replies,135 views,Undo a restore?,asked by jlynnkessler
858,latest reply 2 weeks ago                             by i_rina,/thread/8221281,iphone_7_p,1 reply,31 views,Camera glass replacement,asked by duncanmelise
859,latest reply 2 weeks ago                             by hasanie,/thread/7677724,iphone_7_p,13 replies,"12,985 views",iPhone 7 and high resolution audio,asked by Phlac
860,latest reply 2 weeks ago                             by brenden dv,/thread/8220529,iphone_7_p,1 reply,22 views,i have very low call volume 7plus ios 11,asked by khaloooz
861,latest reply 2 weeks ago                             by markmisky,/thread/8138687,iphone_7_p,1 reply,"2,392 views",iPhone 7 Plus Constantly Restarts Randomly,asked by Kyara_Renee
862,2 weeks ago,/thread/8221637,iphone_7_p,0 replies,24 views,Problems with iPhone 7 Plus,asked by gio_yellow
863,latest reply 2 weeks ago                             by nurse_st,/thread/7926414,iphone_7_p,14 replies,"7,133 views",Camera's Issue (iPhone 7 Plus),asked by raymonduytak
864,latest reply 2 weeks ago                             by Kingdash,/thread/8209044,iphone_7_p,8 replies,105 views,iphone 7 plus super laggy and cant hear sound,asked by Kingdash
865,latest reply 2 weeks ago                             by grant93,/thread/7698529,iphone_7_p,53 replies,"13,024 views",iPhone 7 Plus Camera Problem against Direct light,asked by Mathias Brito
866,latest reply 2 weeks ago                             by Tenebreux,/thread/8100451,iphone_7_p,9 replies,"1,599 views",ios 11 spotlight search,asked by lestrada517
867,latest reply 2 weeks ago                             by Jungkookie101,/thread/7679001,iphone_7_p,50 replies,"85,036 views",New iPhone 7 Plus - Silent Button not vibrating?,asked by frchgrl
868,latest reply 2 weeks ago                             by Briansyddall,/thread/8086852,iphone_7_p,21 replies,"12,706 views",No sound after iOS 11.0 and 11.0.1 Update,asked by Mr. Morry
869,latest reply 2 weeks ago                             by Briansyddall,/thread/8218970,iphone_7_p,1 reply,24 views,unable to factory reset iPhone 7 plus,asked by evelynu88
870,latest reply 3 weeks ago                             by sterling r,/thread/8217775,iphone_7_p,1 reply,21 views,"My iphone 7plus vibrates even if I switch the vibration feature off, does anyone know how to fix this?",asked by qcsoledad
871,latest reply 3 weeks ago                             by ladikes,/thread/8021221,iphone_7_p,15 replies,"7,383 views",iPhone 7 Plus huge battery drain overnight,asked by TheBestAsAlways
872,latest reply 3 weeks ago                             by mychinita,/thread/8216281,iphone_7_p,2 replies,36 views,iOS 11.2 drains battery on iPhone 7plus,asked by mychinita
873,latest reply 3 weeks ago                             by Jonathan UK,/thread/7778425,iphone_7_p,4 replies,"2,684 views",Water stains in my iPhone 7 screen,asked by Hanglim
874,latest reply 3 weeks ago                             by mltorley,/thread/8216330,iphone_7_p,3 replies,55 views,slowdown because of battery life,asked by mdiaz0429
875,3 weeks ago,/thread/8215508,iphone_7_p,0 replies,31 views,iPhone 7 plus India carrier aggregation support,asked by abhi-tyagi
876,latest reply 3 weeks ago                             by oliviaGm8,/thread/7733661,iphone_7_p,3 replies,"9,918 views",Iphone 7 plus microphone not working,asked by wjw39
877,latest reply 3 weeks ago                             by Arthmostsa,/thread/8213388,iphone_7_p,7 replies,93 views,Wifi keep disconnecting when the phone is locked,asked by hluo
878,latest reply 3 weeks ago                             by marcweiraan,/thread/8213329,iphone_7_p,1 reply,20 views,Home wi-fi loses signal when I use my iphone,asked by Birk21883
879,latest reply 3 weeks ago                             by Michael Black,/thread/8211056,iphone_7_p,3 replies,51 views,How do i retrieve photos from my disabled iphone,asked by DonkeyW
880,latest reply 3 weeks ago                             by Kappy,/thread/8210875,iphone_7_p,1 reply,30 views,Restriction Password,asked by abe2018
881,3 weeks ago,/thread/8211802,iphone_7_p,0 replies,11 views,New iPad or iPhone will not power off HELP,asked by DADIG
882,latest reply 3 weeks ago                             by vonbaby,/thread/7675591,iphone_7_p,16 replies,"16,137 views",Iphone 7 plus video recording problem,asked by nhoj_yelbom
883,latest reply 3 weeks ago                             by Briansyddall,/thread/7758313,iphone_7_p,8 replies,"6,369 views",iphone 7 plus apps crashing?,asked by mca1010
884,latest reply 3 weeks ago                             by Snn5,/thread/8209253,iphone_7_p,3 replies,58 views,When is Apple going to give my 6s full processing power again?,asked by Wrov
885,latest reply 3 weeks ago                             by Sameerquadri,/thread/7704860,iphone_7_p,12 replies,"11,485 views",Iphone 7 Plus Flickering screen,asked by Ice4469
886,latest reply 3 weeks ago                             by venkateshfromvellore district,/thread/8210103,iphone_7_p,2 replies,22 views,no voice from right speaker of 7plus,asked by venkateshfromvellore district
887,latest reply 4 weeks ago                             by architech87,/thread/8208514,iphone_7_p,2 replies,49 views,Why does the white/silver iPhone 7 Plus not have an ALS sensor?,asked by architech87
888,latest reply 4 weeks ago                             by ryajen11,/thread/8207003,iphone_7_p,3 replies,52 views,Ipone 7s woefully slow,asked by mrangryfromsevenoaks
889,latest reply 4 weeks ago                             by balmoorisatwik,/thread/8181324,iphone_7_p,2 replies,56 views,I'm willing to buy an iPhone which should work in India and Australia. So can anyone tell me the list of models which work in both countries (willing to buy any iPh ...,asked by balmoorisatwik
890,latest reply 4 weeks ago                             by FoxFifth,/thread/8208443,iphone_7_p,2 replies,21 views,Trading In Phone,asked by KrisWenzel
891,latest reply 4 weeks ago                             by deggie,/thread/8207650,iphone_7_p,2 replies,24 views,No Driver found for Blue Tooth Iphone 7 to Win 7 PC,asked by jamesbtex
892,latest reply 4 weeks ago                             by KiltedTim,/thread/8206287,iphone_7_p,1 reply,45 views,"Dropped my phone, is it repairable?",asked by devcryo
893,latest reply 4 weeks ago                             by avexjp,/thread/8207435,iphone_7_p,5 replies,133 views,iCloud hacked,asked by avexjp
894,latest reply 4 weeks ago                             by becky_s22,/thread/8206402,iphone_7_p,1 reply,25 views,My iPhone 7+ back camera is black.,asked by jordanrm1
895,latest reply 4 weeks ago                             by KiltedTim,/thread/8207090,iphone_7_p,1 reply,16 views,I PHONE 7 PLUS SPEAKER COMPLAINT,asked by NAVIN SHIBU
896,latest reply 4 weeks ago                             by Ricky@B,/thread/8206796,iphone_7_p,3 replies,36 views,Screen is heavily damage,asked by akjbk0303
897,latest reply 4 weeks ago                             by jax12346,/thread/7692523,iphone_7_p,4 replies,"5,651 views",iPhone 7 Plus speaker sound distorted,asked by hotwind68
898,latest reply 1 month ago                             by Kurt Lang,/thread/8204850,iphone_7_p,1 reply,91 views,My iPhone 7 Plus LCD screen is cracked and I was wondering how much it would cost to fix that. I have no warranty on the phone.,asked by JA231467
899,latest reply 1 month ago                             by Briansyddall,/thread/8205805,iphone_7_p,2 replies,23 views,iPhone 7 plus hangs on Logo after updating to iOS 11.0.3,asked by isaacfromtema
900,latest reply 1 month ago                             by TomazzZ,/thread/8195564,iphone_7_p,1 reply,221 views,Motion Calibration & Distance always on!,asked by woj_k
901,latest reply 1 month ago                             by Michael Black,/thread/7670106,iphone_7_p,17 replies,"3,088 views",iPhone 7 and Gloves,asked by Borgmatix
902,latest reply 1 month ago                             by madra31,/thread/8201532,iphone_7_p,1 reply,31 views,Touch Screen Issue,asked by lenswife16
903,latest reply 1 month ago                             by Lawrence Finch,/thread/8199532,iphone_7_p,1 reply,88 views,How do you know of iPhone in warranty,asked by shemmy0182
904,latest reply 1 month ago                             by littledope,/thread/8197623,iphone_7_p,2 replies,130 views,CPU slow of many iPhone.... WHY???,asked by littledope
905,latest reply 1 month ago                             by ckuan,/thread/8199842,iphone_7_p,1 reply,35 views,iPhone 7 Plus phone calls not working,asked by jadewastell
906,latest reply 1 month ago                             by Michael Black,/thread/8199126,iphone_7_p,2 replies,287 views,Iphone 7 & Tag Heuer Connect Smartwatch,asked by GoldenBhoy
907,latest reply 1 month ago                             by IdrisSeabright,/thread/8199061,iphone_7_p,1 reply,375 views,Battery Cycle Count on iPhone 7 Plus,asked by MarsyaKA
908,latest reply 1 month ago                             by sicimamma,/thread/8198571,iphone_7_p,2 replies,69 views,Unable to message in iMessagesunable to open iMessage without Apple Pay opening since  iOS 11.1.2 update,asked by sicimamma
909,latest reply 1 month ago                             by Daddy-Ough,/thread/7686114,iphone_7_p,44 replies,"15,181 views",iPhone 7 3d touch vibration not working,asked by AndreCR-117
910,latest reply 1 month ago                             by Briansyddall,/thread/8196216,iphone_7_p,7 replies,80 views,how to repair within a month without warranty,asked by dongwoon
911,latest reply 1 month ago                             by chariklia,/thread/7704203,iphone_7_p,27 replies,"74,085 views",Iphone 7 plus camera stopped working,asked by manojfromfrisco
912,latest reply 1 month ago                             by madra31,/thread/8197374,iphone_7_p,1 reply,56 views,IPhone 7 Plus is in silent mode forever,asked by chinkusabat
913,latest reply 1 month ago                             by sberman,/thread/8197385,iphone_7_p,5 replies,42 views,How do I make my iPad and iPhone not sync when making changes to one,asked by rburkhart1
914,latest reply 1 month ago                             by Gus,/thread/8195743,iphone_7_p,1 reply,42 views,My iPhone7,asked by Dempsey2014
915,latest reply 1 month ago                             by Kevsource,/thread/7821916,iphone_7_p,8 replies,"1,176 views",CarPlay problems in a 2017 Hyundai Elantra with Messages,asked by Engine
916,latest reply 1 month ago                             by diodes123,/thread/8196085,iphone_7_p,6 replies,70 views,iPhone 7+ home button only pushes down when phone is on?,asked by pinkiefrompa
917,latest reply 1 month ago                             by diodes123,/thread/8193789,iphone_7_p,2 replies,68 views,if i can upgrade to iphone X,asked by INNUSIKK
918,latest reply 1 month ago                             by panchososa694,/thread/8193733,iphone_7_p,2 replies,96 views,Will an unlocked tmobile iphone 7 plus work with verizon,asked by Jasmine909
919,latest reply 1 month ago                             by KenJohnso,/thread/8092843,iphone_7_p,4 replies,514 views,iphone 7 plus bad incomming call audio after updating to ios 11,asked by Igerman87
920,latest reply 1 month ago                             by Jlbstep,/thread/8194570,iphone_7_p,2 replies,39 views,iPhone 7 Plus will not update apps,asked by Jlbstep
921,latest reply 1 month ago                             by AppleDave1982,/thread/7729864,iphone_7_p,11 replies,571 views,No Signal for China Telecom 4G with iPhone7 Plus A1661,asked by shangwubadian
922,latest reply 1 month ago                             by Cabstar1969,/thread/8069375,iphone_7_p,10 replies,"1,425 views",Does the iPhone X come with a USB 3.0 lightning port,asked by Asher Menezes
923,latest reply 1 month ago                             by Michael Black,/thread/8194671,iphone_7_p,2 replies,39 views,Found iPhone with iCloud.,asked by liljayko
924,latest reply 1 month ago                             by panchososa694,/thread/8193686,iphone_7_p,1 reply,33 views,"My,Phone,7,Plus,and,Phone,X,crashing,every,min",asked by B7272
925,latest reply 1 month ago                             by Briansyddall,/thread/8193118,iphone_7_p,2 replies,139 views,What problem error 26,asked by moh155877
926,latest reply 1 month ago                             by 1sinrk,/thread/8192745,iphone_7_p,3 replies,71 views,iPhone 7 Plus returns to lock screen after 1 minute.,asked by 1sinrk
927,latest reply 1 month ago                             by Briansyddall,/thread/8192789,iphone_7_p,1 reply,21 views,iphone 7 plus wont power on,asked by quiffgirl_99
928,latest reply 1 month ago                             by welafever,/thread/8192734,iphone_7_p,1 reply,61 views,iPhone X water resistance,asked by rony-z
929,latest reply 1 month ago                             by Briansyddall,/thread/8192640,iphone_7_p,1 reply,68 views,iPhone 7 Plus Vibration Problem,asked by Hossein_hmz
930,latest reply 1 month ago                             by panchososa694,/thread/8190927,iphone_7_p,1 reply,46 views,Why is my voice chopped when on the phone?,asked by Stevesma
931,1 month ago,/thread/8191520,iphone_7_p,0 replies,14 views,Map Voice,asked by OhmyGoodneSS145
932,latest reply 1 month ago                             by chris_g1,/thread/8190277,iphone_7_p,1 reply,35 views,i get code 43 in device manager when i plug in my iphone,asked by ddurbin51
933,latest reply 1 month ago                             by ProustGiulio,/thread/8190656,iphone_7_p,1 reply,23 views,iPhone 7 Plus won't charge on MacBook Pro,asked by desorder132
934,latest reply 1 month ago                             by Briansyddall,/thread/8188125,iphone_7_p,1 reply,52 views,11.2 killed my bluetooth connection,asked by jamesspo
935,latest reply 1 month ago                             by MrBill3,/thread/8187982,iphone_7_p,1 reply,35 views,"iPhone 7  now ""disconnects"" every time I try to backup to iTunes over USB.",asked by Paul Hixson1
936,1 month ago,/thread/8188185,iphone_7_p,0 replies,14 views,iPhone 7 plus charging flickers only when plugged in on my MacBook Pro,asked by maiona
937,latest reply 1 month ago                             by welafever,/thread/8188067,iphone_7_p,1 reply,14 views,power on/off key closes the line neither putting in silent mode,asked by mkh007
938,latest reply 1 month ago                             by geekspeak99,/thread/8084089,iphone_7_p,1 reply,253 views,Does the device have any indication that it is fast charging versus regular charging?,asked by kazunesisco
939,latest reply 1 month ago                             by ProustGiulio,/thread/8185543,iphone_7_p,1 reply,46 views,Unable to pair Fitbit,asked by avril3
940,latest reply 1 month ago                             by Ricky@B,/thread/8186592,iphone_7_p,3 replies,27 views,iphone 7 plus,asked by bellad735
941,1 month ago,/thread/8186688,iphone_7_p,0 replies,21 views,my iphone 7 plus has just started throwing me out and back to the passcode screen,asked by ShazHacking
942,latest reply 1 month ago                             by Samyee,/thread/8184930,iphone_7_p,2 replies,216 views,iOS 11.2 problem,asked by Samyee
943,latest reply 1 month ago                             by brenden dv,/thread/8184760,iphone_7_p,1 reply,23 views,is phone restoring when says it make take a few minutes to set up your apple id,asked by Robyn4JC
944,latest reply 1 month ago                             by PCthug,/thread/7706731,iphone_7_p,38 replies,"70,567 views",iPhone 7 plus (brand new) charging very slow,asked by kkunche
945,latest reply 1 month ago                             by Driver8666,/thread/8184844,iphone_7_p,9 replies,61 views,Applecare theft coverage?,asked by Sasan Mac
946,latest reply 1 month ago                             by guslov,/thread/8184362,iphone_7_p,2 replies,42 views,phone restarting randomly,asked by Rooster@433
947,latest reply 2 months ago                             by dfghapp,/thread/8184204,iphone_7_p,1 reply,17 views,Iphone7+ screen scrolling lag,asked by dfghapp
948,latest reply 2 months ago                             by welafever,/thread/8183659,iphone_7_p,1 reply,47 views,Iphone black screen,asked by wardaaa23
949,latest reply 2 months ago                             by lpfeffer,/thread/7945051,iphone_7_p,4 replies,"5,116 views",callers can't hear me - iPhone 7 plus,asked by boison
950,latest reply 2 months ago                             by sterling r,/thread/8183525,iphone_7_p,1 reply,120 views,Does the black screen with spinning wheel problem happen in iPhone 8 and X?,asked by Javier1140
951,latest reply 2 months ago                             by madra31,/thread/8184007,iphone_7_p,1 reply,23 views,"Update carrier causes phone to do weird recycle, two vibrates and displays unlock screen",asked by SparrowsDream
952,latest reply 2 months ago                             by Briansyddall,/thread/8183718,iphone_7_p,2 replies,25 views,Del,asked by delfordfrombeaumont
953,latest reply 2 months ago                             by vishnufromfarnborough,/thread/7692774,iphone_7_p,1 reply,143 views,Black loading screen. ios10,asked by Frankieeev
954,2 months ago,/thread/8183682,iphone_7_p,0 replies,90 views,iphone 7 plus randomly shutting down - black screen with spinning wheel,asked by manishgh
955,latest reply 2 months ago                             by Sugarpuffie_PH,/thread/8182079,iphone_7_p,2 replies,50 views,iPhone 7 plus won't turn on,asked by Sugarpuffie_PH
956,latest reply 2 months ago                             by madra31,/thread/8183077,iphone_7_p,3 replies,33 views,7plus not working after switching from AT&T to Verizon,asked by frustrated1inCO
957,2 months ago,/thread/8183019,iphone_7_p,0 replies,22 views,My custom ringtones aren't working,asked by funibair
958,latest reply 2 months ago                             by ProustGiulio,/thread/8180254,iphone_7_p,1 reply,42 views,Screen not working!,asked by Stjimmy009
959,latest reply 2 months ago                             by ajtpbull,/thread/7819426,iphone_7_p,3 replies,688 views,iPhone 7 plus randomly stops playing audio and 3d touch stops working,asked by theeooooo
960,latest reply 2 months ago                             by HitTheBeachOC,/thread/7758419,iphone_7_p,46 replies,"18,130 views",IPHONE 7 PLUS BENT !  VERY UNHAPPY CUSTOMER,asked by khom936702
961,2 months ago,/thread/8180235,iphone_7_p,0 replies,27 views,iPhone 7 Plus Battery,asked by pfisher112
962,latest reply 2 months ago                             by TexasPeach,/thread/8103544,iphone_7_p,2 replies,"1,022 views",visual voicemail transcription not working on iPhone 7  after iOS11 update,asked by TexasPeach
963,latest reply 2 months ago                             by Briansyddall,/thread/8179152,iphone_7_p,2 replies,32 views,text sound not working,asked by dennisfrombingley
964,latest reply 2 months ago                             by x64uk,/thread/8176741,iphone_7_p,1 reply,42 views,50GB storage plan,asked by AndrewBig
965,latest reply 2 months ago                             by Michael Black,/thread/8176742,iphone_7_p,1 reply,29 views,iphone storage plan,asked by AndrewBig
966,latest reply 2 months ago                             by Gus,/thread/8176385,iphone_7_p,1 reply,32 views,Iphone 7 Plus -- problem with 2X camera images,asked by jcwCT
967,latest reply 2 months ago                             by Briansyddall,/thread/8173816,iphone_7_p,2 replies,38 views,Passcode,asked by horata
968,latest reply 2 months ago                             by madra31,/thread/8175118,iphone_7_p,1 reply,21 views,"Using the upgrade program to buy unlocked phone, you lose unlocked status when you upgrade.  Why?",asked by carollian
969,latest reply 2 months ago                             by Bedazzler,/thread/7681431,iphone_7_p,14 replies,"28,844 views",iphone 7 plus sound problems,asked by varsitytours
970,latest reply 2 months ago                             by KiltedTim,/thread/8048458,iphone_7_p,3 replies,198 views,iphone 7 plus headphones,asked by peachypam88
971,latest reply 2 months ago                             by Lawrence Finch,/thread/8173183,iphone_7_p,1 reply,20 views,email on iPhone 7 disapearing and reloading,asked by aebrn1980
972,latest reply 2 months ago                             by Kappy,/thread/8171718,iphone_7_p,4 replies,75 views,"iPhone 7 Plus, Screen Cracked",asked by alex773
973,latest reply 2 months ago                             by Kiko1963,/thread/8172755,iphone_7_p,2 replies,14 views,"Restore ""Notes"" without including iPhone settings",asked by Kiko1963
974,latest reply 2 months ago                             by Briansyddall,/thread/8172695,iphone_7_p,1 reply,17 views,I cannot access phone.  Icons too large.  I cannot shut off phone or restart.,asked by asa1022
975,latest reply 2 months ago                             by Csound1,/thread/8172554,iphone_7_p,2 replies,30 views,Recently i restored my iphone 7 plus to its original settings without having a backup and i ve lost all my photos and data. Is there a chance to recover them withou ...,asked by alkispol
976,latest reply 2 months ago                             by Kappy,/thread/8172223,iphone_7_p,1 reply,15 views,iPhone 7 Plus Mic Issue,asked by michaelarco
977,2 months ago,/thread/8170724,iphone_7_p,0 replies,12 views,Screen acts weird,asked by kelseyjoelle
978,2 months ago,/thread/8170548,iphone_7_p,0 replies,46 views,My Iphone 7 plus keeps taking itself out of recovery mode in the middle of the software extraction process. Why?,asked by kcooper1619
979,latest reply 2 months ago                             by Saeedboy55517660,/thread/7917974,iphone_7_p,5 replies,"5,145 views",support.apple.com/iphone/restore this is what I got when I tried to update on my iphone 7 plus tried to update through itunes still noting also tried to restore sti ...,asked by angiefulcher1
980,2 months ago,/thread/8170022,iphone_7_p,0 replies,13 views,Camera quits. Phone heats up,asked by anfisign
981,latest reply 2 months ago                             by Ramulas,/thread/8131237,iphone_7_p,2 replies,292 views,People cannot hear me in middle of call,asked by drvangelder
982,latest reply 2 months ago                             by venkatHarish,/thread/7721197,iphone_7_p,11 replies,"85,241 views",iPhone 7 plus stuck on apple logo,asked by Doublett63
983,latest reply 2 months ago                             by rbrylawski,/thread/8166055,iphone_7_p,2 replies,69 views,Trade in more than one iphones to get a new iphone x or ipad,asked by abudibaa
984,latest reply 2 months ago                             by madra31,/thread/8165729,iphone_7_p,1 reply,101 views,iPhone frozen,asked by gc1966
985,latest reply 2 months ago                             by dan2708,/thread/8166275,iphone_7_p,2 replies,47 views,Why doesn't my iPhone keyboard work properly???,asked by dan2708
986,latest reply 2 months ago                             by Willielf,/thread/8166805,iphone_7_p,2 replies,43 views,iPhone 7+ not connecting to computer,asked by Willielf
987,latest reply 2 months ago                             by deggie,/thread/8166632,iphone_7_p,1 reply,34 views,It takes two weeks to deliver a phone?,asked by stackkkkkkk
988,2 months ago,/thread/8166542,iphone_7_p,0 replies,31 views,update on 7plus,asked by lcarp6684
989,latest reply 2 months ago                             by ChrisJ4203,/thread/8142893,iphone_7_p,4 replies,281 views,iOS 11.2 issues,asked by 2XL_Middx
990,latest reply 2 months ago                             by MasterAlvik,/thread/7921332,iphone_7_p,2 replies,"2,071 views",Demo mode,asked by Remmert95
991,latest reply 2 months ago                             by rzeidler,/thread/8068324,iphone_7_p,9 replies,"2,523 views",iPhone X pull down screen/shrink screen,asked by Billzybub
992,latest reply 2 months ago                             by razmee209,/thread/8165049,iphone_7_p,1 reply,40 views,orientation jacked up,asked by wickedone691
993,latest reply 2 months ago                             by welafever,/thread/8162754,iphone_7_p,1 reply,47 views,Anybody had a good experience with the Jet Black iPhone 7 Plus?,asked by justyoon99
994,latest reply 2 months ago                             by Briansyddall,/thread/8164704,iphone_7_p,1 reply,39 views,Black dots back on my iPhone,asked by Ardipod
995,latest reply 2 months ago                             by rbrylawski,/thread/8164401,iphone_7_p,1 reply,52 views,Can I turn off Dolby in iPhone/iOS,asked by NJCurt
996,latest reply 2 months ago                             by madra31,/thread/8164072,iphone_7_p,3 replies,57 views,IPhone Keeps Freezing,asked by JustTemporary
997,latest reply 2 months ago                             by becky_s22,/thread/8162361,iphone_7_p,1 reply,38 views,Battery draining rapidly,asked by mkawar1
998,latest reply 2 months ago                             by vffdgdgdsgsadfsd,/thread/8060600,iphone_7_p,12 replies,560 views,Locked Policy,asked by NWISE2
999,latest reply 2 months ago                             by Punisher667,/thread/8163362,iphone_7_p,2 replies,59 views,iPhone 6s plus microfon problem,asked by Punisher667
